id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
chicago-osm-24ab7480,Casa Catalina,meal,"4537 South Ashland Avenue, Chicago, IL, 60609",41.8111882,-87.6647591,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/node/4641398471
chicago-osm-21231364,WIC Food Center,meal,"3110 West Armitage Avenue, Chicago, IL, 60647",41.9176231,-87.7058898,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/node/5136890523
chicago-osm-825484cc,Greater Chicago Food Depository,meal,"4100 West Ann Lurie Place, Chicago, IL, 60632",41.8173168,-87.7268735,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/node/6970180942
chicago-osm-fddbc466,Breakthrough Fresh Market,meal,"3334 West Carroll Avenue, Chicago, IL, 60624",41.8876003,-87.7101016,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/node/8618919604
chicago-osm-7b47f343,IMAN Food and Wellness Center,meal,"1216 West 63rd Street, Chicago, IL, 60636",41.779762,-87.6552282,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/node/8909874917
chicago-osm-ff1f368e,Primo Center,shelter,"4952 West Madison Street, Chicago, IL, 60644",41.8806543,-87.7498744,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/node/9021322459
chicago-osm-f52ccff6,Share Food Share Love,meal,"9030 Brookfield Avenue, Brookfield, IL, 60513",41.8215214,-87.8479451,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/node/9548340282
chicago-osm-113006f6,Oak Park Interim Housing and Medical Respite Center,shelter,"211 North Oak Park Avenue, Oak Park, IL, 60302",41.8906882,-87.7951471,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/node/9552117838
chicago-osm-21d64e5d,WIC Grocery,meal,"416 East 43rd Street, Chicago, IL, 60653",41.8168156,-87.6155602,+17739247041,,,,,,,,,,,,,,Mo-Fr 08:00-20:00; Sa-Su 09:00-17:00,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/node/9708102152
chicago-osm-587dfc35,Covenant House,shelter,"2934 West Lake Street, Chicago, IL, 60612",41.8842728,-87.7003249,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/node/9753028385
chicago-osm-dcbae039,Love Fridge at Augustana Lutheran Church,meal,5500 S Woodlawn Ave,41.7949308,-87.5974282,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/node/10908746383
chicago-osm-eb8dca38,Care for Real,meal,"5840 North Broadway, Chicago, IL, 60660",41.9881646,-87.6605215,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/node/13500770556
chicago-osm-a054175a,ICH-1,shelter,"7050 South Pulaski Road, Chicago, IL, 60629",41.764899,-87.7255195,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/way/163572885
chicago-osm-e28108ea,Nourishing Hope,meal,"3945 North Sheridan Road, Chicago, IL, 60613",41.9539963,-87.6541094,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/way/210330504
chicago-osm-32fe406c,The Salvation Army,shelter,"4800 North Marine Drive, Chicago, IL, 60640",41.9696305,-87.6501588,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/way/210382271
chicago-osm-7d6abc8d,Maria Shelter,shelter,"7320-7326 South Yale Avenue, Chicago, IL, 60621",41.7610713,-87.6312533,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/way/210516764
chicago-osm-4643affe,Institute of Women Today,shelter,"9519 South Commercial Avenue, Chicago, IL, 60617",41.7220697,-87.5507599,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/way/211352978
chicago-osm-a3fdb750,Beds Plus,shelter,"9601 Ogden Avenue, La Grange, IL, 60525",41.8171883,-87.8607687,+17083540858,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/way/865189548
chicago-osm-82c081fe,Westchester Food Pantry,meal,"1938 South Mannheim Road, Westchester, IL, 60154",41.8509858,-87.8821646,+17089274826,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/way/1267731219
