id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
denver-osm-205b0aad,Samaritan House Catholic Charities,shelter,"2301 Lawrence Street, Denver, 80205",39.7555773,-104.9881964,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/node/1705214239
denver-osm-429efcf5,Growing Homes,shelter,,39.8277789,-105.0316975,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/node/2640279460
denver-osm-2a5a81c7,Denver Rescue Mission,shelter,"1130 Park Avenue West, Denver, CO, 80205",39.7547589,-104.9879997,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/node/3087320614
denver-osm-231f286a,Acts Resource Center Food Bank,meal,"3405 Downing Street, Denver, CO, 80205",39.7647072,-104.9735932,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/node/3333556655
denver-osm-2212fb8a,Heart & Hand Center After School Programming,medical,"2758 Welton Street, Denver, CO, 80205",39.75546,-104.9768409,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/node/3351085834
denver-osm-0ca817d0,Ronald McDonald House,shelter,"1300 East 21st Avenue, Denver, CO, 80205",39.7478701,-104.9718251,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/node/3381853765
denver-osm-2eba53ff,Grant Avenue Street Reach Soup Kitchen,meal,"1600 Grant Street, Denver, CO, 80203",39.7418868,-104.9832919,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/node/3386138599
denver-osm-eafa82f9,Christ Body Ministries,meal,"850 Lincoln Street, Denver, CO, 80203",39.7300007,-104.9857898,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/node/3444544695
denver-osm-a1dd7692,Father Woody's Haven of Hope,shelter,"1101 West 7th Avenue, Denver, CO, 80204",39.7274809,-105.0020582,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/node/3493424226
denver-osm-c42c82da,Franciscan Friends of the Poor,shelter,"707 Lipan Street, Denver, CO, 80204",39.7275438,-105.001849,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/node/3493430357
denver-osm-41a22211,Bienvenidos Food Bank,meal,"3810 Pecos Street, Denver, CO, 80211",39.7695949,-105.0062592,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/node/4324590916
denver-osm-78a408d7,Project Angel Heart,meal,"4950 Washington Street, Denver, CO, 80216",39.7867981,-104.9777093,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/node/5114565908
denver-osm-47c5c78b,Life Center Littleton,meal,"5804 South Datura Street, Littleton, CO, 80120",39.6115211,-105.0039003,+13039537180,,,,,,,,,,,,,,Mo-Fr 09:00-17:00,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/node/5597976433
denver-osm-3dc3b527,Little Free Food Pantry,meal,,39.7287542,-104.8427001,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/node/9789571359
denver-osm-345ee53e,Skuntpunch Soup,shelter,"7575 Newton Street, Westminster, CO, 80030",39.8339863,-105.0377741,,,,,,,,,,,,,,,24/7,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/node/11217045871
denver-osm-06e34869,Integrated Family Community Services,meal,"3370 South Irving Street, Englewood, CO, 80110",39.6564448,-105.0292287,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/node/12786328606
denver-osm-d4e8f761,St. Francis Center,shelter,"2323 Curtis Street, Denver, CO, 80205",39.7543202,-104.9860832,+13032971577,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/node/13281196401
denver-osm-f77bc4cc,Mutual Aid Monday,meal,,39.7392112,-104.9900755,,,,,,,,,,,,,,,Mo 16:00-19:00; Tu-Su off,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/node/14101988987
denver-osm-1b7ba819,Thornton United Methodist Church,meal,"8970 Hoyt Drive, CO, 80229-7923",39.8597162,-104.9617624,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/way/48209267
denver-osm-c84685f7,Mount Saint Vincent,medical,"4159 Lowell Boulevard, Denver, CO, 80211",39.7743731,-105.0361197,+13034587220,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/way/209720162
denver-osm-24f7d1b0,Adams County Food Distribution,meal,"7111 East 56th Avenue, Commerce City, CO, 80022",39.798933,-104.9054898,+17208783563,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/way/432472360
denver-osm-ff1e0575,MSU Denver Rowdy's Corner,meal,"900 Auraria Parkway, Denver, CO, 80204",39.7450218,-105.0057265,+13036150423,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/way/1315644247
denver-osm-d70e076b,CCD Swooper Market,meal,"900 Auraria Parkway, Denver, CO, 80204",39.7449753,-105.0055096,+13033526532,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/way/1315880082
