id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
detroit-osm-914f1fe4,DRRM Genesis III,shelter,"3840 Fairview Street, Detroit, MI, 48214",42.3783755,-82.9819362,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/node/8922676483
detroit-osm-1c0b2336,St. Christine Food Pantry,meal,"22303 Fenkell Street, Detroit, MI, 48223",42.4000743,-83.2607514,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/node/9056947617
detroit-osm-d707539c,St. Christine's Soup Kitchen and Food Pantry,meal,"22261 Fenkell Street, Detroit, MI, 48223",42.4001396,-83.2603104,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/node/10997640287
detroit-osm-4c50245f,Capuchin Soup Kitchen,meal,"Detroit, MI, 48207",42.350978,-83.0127394,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/way/59153362
detroit-osm-1a3c37ee,Gleaners Community Food Bank,meal,"2131 Beaufait Street, Detroit, MI, 48207",42.3542209,-83.0141996,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/way/292133316
detroit-osm-7c13b35d,Genesis House II,shelter,,42.3851655,-83.1079828,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/way/490553525
detroit-osm-1c49fcf1,Capuchin Soup Kitchen,meal,"4390 Conner Street, Detroit, MI, 48215",42.3866242,-82.9696641,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/way/587317655
detroit-osm-f8ae7869,Vista Maria,shelter,"20651 West Warren Avenue, Dearborn Heights, MI, 48239",42.341098,-83.2445053,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/way/588102583
detroit-osm-484d98a4,Gleaners Community Food Bank Taylor South Distribution Center,meal,"21405 Trolley Industrial Drive, Taylor, MI, 48180",42.2613532,-83.2460497,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/way/678234558
detroit-osm-795b2899,Maryvale,medical,,42.2911379,-83.0732057,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/way/781424139
detroit-osm-bc0d8d9e,Mariners Inn,shelter,"445 Ledyard Street, Detroit, MI, 48201",42.3397846,-83.0581534,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/way/805109836
detroit-osm-12af5926,Elizabeth Davenport Girls Shelter,shelter,"665 East Grand Boulevard, Detroit, MI, 48207",42.3610743,-83.0116479,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/way/1016950035
detroit-osm-af8f9b5a,Street Help,shelter,"964 Wyandotte Street East, Windsor, N9A 3J9",42.3192741,-83.0232251,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/way/1295780608
