id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
indianapolis-osm-f0f7d189,Second Helpings,meal,"1121 Southeastern Avenue, Indianapolis, IN, 46202",39.7656948,-86.1390819,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/way/234920836
indianapolis-osm-b45d8c17,Horizon House,shelter,"1033 East Washington Street, Indianapolis, IN, 46202",39.7665467,-86.1394476,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/way/234920840
indianapolis-osm-7ec72fb5,Community Cupboard of Lawrence Township,meal,"7101 Pendleton Pike, Indianapolis, IN, 46226",39.8276959,-86.0441581,+13173557395,,,,,,,,,,,,,,"We 10:00-16:00,18:00-20:00; Fr 10:00-16:00",,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/way/389703151
indianapolis-osm-a1f1b706,Dayspring center,shelter,"1537 Central Avenue, Indianapolis, IN, 46202",39.7877711,-86.1488897,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/way/396127725
indianapolis-osm-22d8a219,Family Promise of Greater Indianapolis,shelter,,39.7919021,-86.1344323,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/way/399449501
indianapolis-osm-bb95042d,"Mid-North Food Pantry, Inc.",meal,"3333 North Meridian Street, Indianapolis, IN, 46208",39.8164759,-86.1563367,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/way/544823273
indianapolis-osm-f3125981,Food Distribution Center - Fellowship Baptist Church,meal,"3851 East New York Street, Indianapolis, IN, 46201",39.7718981,-86.1001385,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/way/809361071
indianapolis-osm-77048f37,Boulevard Place Food Pantry,meal,"4202 Boulevard Place, Indianapolis, IN, 46208",39.8323652,-86.1643963,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/way/951573544
indianapolis-osm-638d4e2a,United Food Wholesale,meal,"65 South Forest Avenue, Indianapolis, IN, 46201",39.7662091,-86.1196407,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/way/954682167
indianapolis-osm-e7758e96,Paleteria Vallarta,meal,"2215 Distributors Drive, Indianapolis, IN, 46241",39.7353786,-86.2585111,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/way/955500121
indianapolis-osm-a8208932,Compassion Center,meal,"2616 Shelby Street, Indianapolis, IN, 46203",39.7294935,-86.139837,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/way/958520837
indianapolis-osm-822cb739,Good News Ministries,shelter,,39.7686037,-86.1170043,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/way/959568268
indianapolis-osm-1e283be0,Wheeler Mission Center for Women & Children,shelter,"3208 East Michigan Street, Indianapolis, IN, 46201",39.7748343,-86.1102287,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/way/960901917
indianapolis-osm-69c9f045,God's Bounty,meal,"8946 Southeastern Avenue, Wanamaker, IN",39.703502,-86.0072806,,,,,,,,,,,,,,,Th 13:00-18:30,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/way/972415785
