id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
london-osm-d0e91846,Food Bank Aid,meal,"Chaplin Square, London, N12 0GL",51.6047565,-0.1733719,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/node/1409601925
london-osm-4face8dc,Feed The Hill,meal,"367 New Cross Road, London, SE14 6AT",51.4759941,-0.0349361,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/node/1675125331
london-osm-e8c510ab,North Enfield Food Bank,meal,,51.6451601,-0.0579481,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/node/3378721101
london-osm-9bf92f63,Homeless Shelter,shelter,"121-131 East India Dock Road, London, E14 6DF",51.5111679,-0.0186722,+442079875466,,,,,,,,,,,,,,24/7,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/node/4642341078
london-osm-f3ec0e1d,Leytonstone United Free Church Night Shelter,shelter,"55 Wallwood Road, London, E11 1AY",51.5703398,0.0024274,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/node/5901363647
london-osm-456c2133,Banstead Pantry,meal,"48 High Street, Banstead, SM7 2LX",51.3222857,-0.2022509,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/node/5996591274
london-osm-9dd6a4a1,FoodBank North Paddington,meal,"57 Goldney Road, London",51.5247647,-0.1967223,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/node/6742376234
london-osm-a6bc18f2,Humdingers Soup Kitchen,meal,"238 Hoxton Street, London",51.5347098,-0.080676,,,,,,,,,,,,,,,Mo-Fr 17:00-19:00,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/node/6813239311
london-osm-e53b71fd,House The Homeless,shelter,"237 Knight's Hill, London, SE27 0QT",51.4228617,-0.1052454,+448710500890,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/node/7257703002
london-osm-600706f9,The Hive Food Bank,meal,,51.571259,-0.1231088,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/node/7888478130
london-osm-e2b2a755,Mini Food Bank,meal,,51.5894152,0.0002328,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/node/8592077468
london-osm-ff370355,Foodbank Centre,meal,"345 Chipperfield Road, Orpington, BR5 2LJ",51.3962081,0.1077095,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/node/9670655284
london-osm-fcc52dab,The Real Junk Food Project Twickenham,meal,"13 Rosslyn Road, Twickenham, TW1 2AR",51.4551902,-0.313153,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/node/9786564077
london-osm-180d9eab,Bromley Foodbank,meal,"20 Widmore Road, Bromley, BR1 1RY",51.4059545,0.016868,+448009202324,,,,,,,,,,,,,,Tu 11:00-13:30; Th 12:30-14:30; PH off,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/node/11068119074
london-osm-1b60dd6f,Lewisham Donation Hub,meal,"261 Lewisham High Street, London, SE13 6AY",51.4563669,-0.0140106,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/node/11121352975
