id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
los-angeles-osm-2d2bccdd,St. Vincent's Cardinal Manning Center,shelter,,34.0460094,-118.2461804,,,,,,,,,,,,,,,,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/node/2507944080
los-angeles-osm-8769b56d,Altadena S.D.A. Church - Food Bank,meal,"2609 North Lincoln Avenue, Altadena, CA, 91001",34.1905714,-118.1590834,+16267943953,,,,,,,,,,,,,,"Tu[2,4] 09:00-12:00",,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/node/3646860883
los-angeles-osm-00c58f44,Eastmont Community Center - Food Bank,meal,"701 Hoefner Avenue, Los Angeles, CA, 90022",34.0210673,-118.1498999,+13237267998,,,,,,,,,,,,,,Mo-Fr 09:00-11:00,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/node/3646871294
los-angeles-osm-ef846454,St. Francis Center - Food Bank,meal,"1835 South Hope Street, Los Angeles, CA, 90015",34.0339159,-118.2695622,+12137475347,,,,,,,,,,,,,,"Tu-Th 11:00-24:00, Sa 11:00-24:00",,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/node/3646948889
los-angeles-osm-e13f5671,Ecumenical Council of Pasadena Area Congregations - Food Bank,meal,"1330 Los Robles Avenue, Pasadena, CA, 91104",34.1687097,-118.1413392,+16267972402,,,,,,,,,,,,,,"Tu,We 09:00-15:00",,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/node/3646951250
los-angeles-osm-1b8ff008,Berean S.D.A. Church Food Bank,meal,"4211 West Adams Boulevard, Los Angeles, CA, 90018",34.0328208,-118.3309917,+13237350228,,,,,,,,,,,,,,Th[3] 09:00-11:00,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/node/3646952322
los-angeles-osm-187cfe8b,Saint Lawrence of Brindisi Food Bank,meal,"10122 Compton Avenue, Los Angeles, CA, 90002",33.9444597,-118.245906,+13235671439,,,,,,,,,,,,,,"Tu,Th 07:00-08:30",,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/node/3646956173
los-angeles-osm-789b804b,North Hollywood Interfaith Food Pantry,meal,"4390 Colfax Avenue, Los Angeles, CA, 91604",34.1499888,-118.3872871,+18187603575,,,,,,,,,,,,,,"Mo,Fr 08:30-13:00",,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/node/3646962244
los-angeles-osm-9c815582,Saint Thomas Center Food Bank,meal,"2727 West Pico Boulevard, Los Angeles, CA, 90006",34.0469193,-118.2989615,+13237373325,,,,,,,,,,,,,,Sa[1-3] 07:00-09:00,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/node/3681611344
los-angeles-osm-c18477d3,Good News Prayer Center,meal,"1722 Firestone Boulevard, Los Angeles, CA, 90001",33.9599665,-118.2423767,+13237530117,,,,,,,,,,,,,,Sa[3] 10:00-12:00,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/node/3692741205
los-angeles-osm-0435a470,Pilgrim's Hope Baptist Church,meal,"7016 Compton Avenue, Los Angeles, CA, 90001",33.9758947,-118.247377,+13235817672,,,,,,,,,,,,,,We[2] 09:00-11:00,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/node/3692761519
los-angeles-osm-1b29a9c1,Presentation of Mary Catholic Church,meal,"6406 Parmelee Avenue, Los Angeles, CA, 90001",33.9814666,-118.2497367,+13235850570,,,,,,,,,,,,,,Sa[3] 07:30-08:30,,,,2026-08-19,,website,ok,Source: https://www.openstreetmap.org/node/3692761569
