id,name,type,address,lat,lon,phone,accepts,pets,sobriety,id_required,referral_required,sex_offender_ok,reports_to,curfew,max_stay,belongings,accessibility,languages,cost,hours,intake_hours,seasonal,capacity_signal,last_verified,verified_by,method,flag,notes
st-louis-st-patrick-center,St. Patrick Center Welcome Center,daytime,"800 N Tucker Blvd, St. Louis, MO 63101",,,314-802-0700,,,,,,,,,,,,,,Mon-Fri 08:00-16:00,Mon-Fri 08:00-13:00,,,2026-08-18,anonymous,website,ok,Central walk-in intake for most emergency shelters in the city. Lunch served daily at noon per published description. Emergency shelter hotline 314-802-5444. Source: stlouis-mo.gov homeless services.
st-louis-biddle-housing,Biddle Housing Opportunities Center,shelter,"1212 N 13th St, St. Louis, MO 63106",,,314-612-1675,,,,,,,,,,,,,,,,,,2026-08-18,anonymous,website,ok,Published as emergency shelter for single adult men. Intake rules not verified. Source: stlouis-mo.gov.
st-louis-peter-and-paul,Peter and Paul Community Services,shelter,"3225 N Florissant Ave, St. Louis, MO 63107",,,,,,,,,,,,,,,,,24/7,,year_round,,2026-08-18,anonymous,website,ok,Published as a year-round 24-hour shelter for single adult men. Phone not established. Source: ppcsinc.org.
st-louis-covenant-house,Covenant House Missouri,youth,"2727 N Kingshighway Blvd, St. Louis, MO 63113",,,314-533-2241,,,,,,,,,,,,,,24/7,,year_round,,2026-08-18,anonymous,website,ok,"Youth shelter, published as open 24/7. Source: covenanthouse.org."
st-louis-our-ladys-inn,Our Lady's Inn,shelter,"4223 S Compton Ave, St. Louis, MO 63111",,,314-351-4590,,,,,,,,,,,,,,,,,,2026-08-18,anonymous,website,ok,Published as an emergency maternity shelter. Who they take is deliberately left unknown here rather than mapped onto categories that do not fit. Call first.
st-louis-city-hope,City Hope St. Louis,shelter,"2010 S 8th St, St. Louis, MO 63104",,,,,,,,,,,,,,,,,,,,,2026-08-18,anonymous,website,ok,Published as warming shelter and transitional housing. Nothing verified. Source: stlouis-mo.gov drop-in centers.
st-louis-empowerment-center,St. Louis Empowerment Center,daytime,"907 Dock St, St. Louis, MO 63147",,,314-652-6100,,,,,,,,,,,,,,,,,,2026-08-18,anonymous,website,ok,Drop-in centre; published as offering showers and laundry. Source: stlouis-mo.gov drop-in centers.
st-louis-bridge-of-hope,Bridge of Hope Ministries,daytime,"4001 Cottage Ave, St. Louis, MO 63113",,,314-405-0253,,,,,,,,,,,,,,,,,,2026-08-18,anonymous,website,ok,Listed among drop-in and warming services. Nothing verified. Source: stlouis-mo.gov.
st-louis-mo-network,Missouri Network for Opiate Reform and Recovery,harm_reduction,"4022 S Broadway, St. Louis, MO 63118",,,844-732-3587,,,,,,,,,,,,,,,,,,2026-08-18,anonymous,website,ok,Harm reduction. Published 24-hour helpline. Syringe services published as free regardless of insurance. Source: thetstl.com / opioid-resource-connector.org.
st-louis-call-for-help,Call for Help Inc,shelter,"9400 Lebanon Rd, East St. Louis, IL 62203",,,,,,,,,,,,,,,,,,,,,2026-08-18,anonymous,website,ok,Illinois side. Published as a residential programme for homeless mothers and their children. Phone not established. Crisis line published as 618-235-0892 (Belleville) / 618-875-7970 (East St. Louis).
